text,label,Final Labelling,phase_label
4.1.3 Local storage . . . . . . . . . . . . . . . . . . . . . . . 7,Sensitive Data Exposure,Formatting,Support – Formatting
4.2 Dynamic analysis . . . . . . . . . . . . . . . . . . . . . . . . . 7,Unknown,Formatting,Support – Formatting
4.2.1 Secured traffic . . . . . . . . . . . . . . . . . . . . . . 7,Unknown,Formatting,Support – Formatting
4.2.2 Insecure traffic . . . . . . . . . . . . . . . . . . . . . . 8,Unknown,Formatting,Support – Formatting
4.2.3 Targeting authentication . . . . . . . . . . . . . . . . . 9,Unknown,Formatting,Support – Formatting
4.2.4 Replay attacks . . . . . . . . . . . . . . . . . . . . . . 9,Replay Attack,Formatting,Support – Formatting
4.2.5 Data retrieval . . . . . . . . . . . . . . . . . . . . . . . 10,Unknown,Formatting,Support – Formatting
4.3 Legal analysis . . . . . . . . . . . . . . . . . . . . . . . . . . . 11,Background Information,Formatting,Support – Formatting
4.3.1 Dutch law . . . . . . . . . . . . . . . . . . . . . . . . . 11,Unknown,Formatting,Support – Formatting
4.3.2 European law . . . . . . . . . . . . . . . . . . . . . . . 11,Unknown,Formatting,Support – Formatting
4.3.3 Privacy concerns . . . . . . . . . . . . . . . . . . . . . 12,Background Information,Formatting,Support – Formatting
5 Conclusion 13,Formatting,Formatting,Support – Formatting
References 14,Formatting,Formatting,Support – Formatting
A Scripts 15,Formatting,Formatting,Support – Formatting
A.1 Sending a Tinder message . . . . . . . . . . . . . . . . . . . . 15,Sensitive Data Exposure,Formatting,Support – Formatting
A.2 Retrieving user history . . . . . . . . . . . . . . . . . . . . . . 15,Data Overexposure / Excessive Permissions,Formatting,Support – Formatting
B Traces 15,Formatting,Formatting,Support – Formatting
"B.1 Replay, chat message to friend . . . . . . . . . . . . . . . . . 15",Sensitive Data Exposure,Formatting,Support – Formatting
"B.2 Replay, chat message to stranger . . . . . . . . . . . . . . . . 16",Sensitive Data Exposure,Formatting,Support – Formatting
C Contributions 18,Formatting,Formatting,Support – Formatting
1 Introduction,Formatting,Formatting,Support – Formatting
"Dating apps are common place in society. Many dating apps include the option to contact matched users and send text messages or images. Due to the amount of personal information potentially involved in the matchmaking process this a prime target for identity theft. If an app or service deals with personal information, it has to ensure the security of this private information. Since the Tinder application has a lot of users, it would be interesting to check this security.",Sensitive Data Exposure,Background Information,Support – Background Information
"The user has to supply some information before using the app. This includes a Facebook profile API credentials and eventually even GPS information. The information that can be collected from the Facebook profile could be valuable for eavesdroppers or third parties. Information like GPS, the actual location of the end user.",Sensitive Data Exposure,Background Information,Support – Background Information
"In this paper we will look in to the risks of using Tinder, what information is sent where and how securely this information is transported over the internet. We also look into whether information is stored at a third party or even Tinder itself. ",Formatting,Background Information,Support – Background Information
 We will first discuss the materials and methods we used to research the Tinder application. We will then discuss the analysis we did on the Tinder application. eg. The offline and onlineanalysis. We will discuss certain,Sensitive Data Exposure,Background Information,Support – Background Information
attacksandpossibleweaknessesoftheTinderimplementation. Wewillthen,Formatting,Background Information,Support – Background Information
draw a conclusion based on our results. We divided the research questions into several sub questions. These will be handled in the analysis. The sub,Background Information,Background Information,Support – Background Information
control (e.g. client devices)?,Formatting,Formatting,Support – Formatting
2 Related Work,Formatting,Formatting,Support – Formatting
do this research.,Formatting,Formatting,Support – Formatting
ThisresearchislooselybasedonsimilarresearchintotheGrindrapplication[1].,Formatting,Formatting,Support – Formatting
on the Grindr application.,Formatting,Formatting,Support – Formatting
"questions we are going to answer are: • Does Tinder implement HTTPS during communication? • Does Tinder send privacy sensitive data to systems outside of Tinders • Is the undocumented, proprietary Tinder API prone to leaking data? • Is it possible to eavesdrop on conversations between users? We found some interesting articles and papers online, which inspired us to The researchers examined the security of the Grindr dating app and found a serious error in the implementation of Grindr. The Tinder app is not based The first article on Tinder we found was an article on Quartz[2], describ- ing a possible leak of data Tinder used to have. Tinder claimed these data leaks “.. happen[s] as you’re developing products”, and was going to be",Weak Transport Security,Background Information,Support – Background Information
patched the same day. The issue was fixed only a week later. This leads us to believe the data privacy of Tinder users is not one of their top priorities.,Background Information,Administrative Policy,Unlabeled – Needs Review
curityintheTinderiOSapp[3]. HisfindingsincludedthecouplingofTinder,Formatting,Formatting,Support – Formatting
"iOSapphasamatchingmechanism, whichallowstwousersto“match”each",Formatting,Formatting,Support – Formatting
other. OrbachusedtheearlierfoundFacebookID’stomatchpeopletoother,Formatting,Formatting,Support – Formatting
"app. Thiswillinclude,forexample,theimplementationofSSL,thepossibil-",Formatting,Formatting,Support – Formatting
"Recently security researcher Shaked Klein Orbach did an audit of the se- Photos and Facebook ID’s, due to excess data sent by Tinder. The Tinder people who where not friends, thus bypassing the matching mechanism. Our research will look into the practical security of the Tinder Android ities of man in the middle attacks, eavesdropping on chat messages, identity spoofing or setting up fake matches. When gathering the results of these",Sensitive Data Exposure,Background Information,Support – Background Information
3 Materials and Methods,Formatting,Formatting,Support – Formatting
"tests, we can get insight in the security of the Tinder implementation. Our research focuses on several particular attack vectors against the plat- form. We will analyze several aspects of the application. User authentica-",Background Information,Background Information,Support – Background Information
live network traffic.,Formatting,Formatting,Support – Formatting
3.1 Static analysis,Formatting,Formatting,Support – Formatting
"tion, authentication of API server(s), possible user-base enumeration, and leaking of information via side channels. We will investigate this by using a combination of static offline analysis of the program code and analysis of The static analysis of the Tinder application was by decompiling the source files from a retrieved APK file using APK to Java1. This APK file has been retrieved from a rooted android device. The decompiler used was the freely available jd-gui[4].",API Exposure via Static Analysis,Recon/Analysis Method,Unlabeled – Needs Review
"The purpose of the static analysis is to extract some information on how Tinder is implemented. We focus on which libraries are used, how communication is handled and if there are any obvious flaws in the implementation.
We will also attempt to extract the structure of their API for later use.",Weak Transport Security,Recon / Analysis Method,Discovery – Recon / Analysis Method
3.2 Network traffic,Formatting,Formatting,Support – Formatting
 The network traffic was analyzed by using a Man in the Middle(MitM) attack. To do this we setup an access-point using a laptop and airbase-ng2. The access point would then forward all requests via iptables to our proxy.,Recon / Analysis Method,Recon / Analysis Method,Discovery – Recon / Analysis Method
3.2.1 HTTP(S) Proxies,Formatting,Formatting,Support – Formatting
 To complete our MitM setup we needed to proxy HTTP(S) requests and fake certificates for the various requested web resources. Because we wanted to analyze all requests we chose to set our proxy in transparent setup as opposed to defining the proxy in the WiFi settings. Reason for this is that applications on Android don't use the proxy as configured in the WiFi settings. As such we required a proxy which could generate SSL certificates for the various end-points requested by the application. ,Weak Transport Security,Recon / Analysis Method,Discovery – Recon / Analysis Method
First we used the Burp suite[5]. This program sat as a proxy between,Unknown,Unknown,Unlabeled – Unknown
client and server but allowed the user to change the data in the middle. This would allow us to change request and response data without having to create a placeholder server. However it turned out that Burp did not have the option to run completely transparent and serve proper SSL certificates.,Unknown,Unknown,Unlabeled – Unknown
FinallywesettledonanimplementationusingSSLsplit4. Thisallowedus,Formatting,Formatting,Support – Formatting
"After this we had a brief look into using MitM proxy3, as this was pre- viously used for exactly this purpose in another analysis[1]. However we didn’t manage to configure it to run transparently with our setup. to use our own certificate ‘authority’ to generate proper SSL certificates for any endpoint connected to during our tests. By importing this authority we",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
1http://forum.xda-developers.com/showthread.php?t=1910873,Formatting,Formatting,Support – Formatting
2http://www.aircrack-ng.org/doku.php?id=airbase-ng,Formatting,Formatting,Support – Formatting
3http://mitmproxy.org,Formatting,Formatting,Support – Formatting
4http://www.roe.ch/SSLsplit,Formatting,Formatting,Support – Formatting
dnsmasq,Formatting,Formatting,Support – Formatting
Internet,Formatting,Formatting,Support – Formatting
Tinder,Formatting,Formatting,Support – Formatting
Kontagent,Formatting,Formatting,Support – Formatting
Crittercism,Formatting,Formatting,Support – Formatting
Facebook,Formatting,Formatting,Support – Formatting
Airbase-NG Iptables,Formatting,Formatting,Support – Formatting
SSLSplit,Formatting,Formatting,Support – Formatting
Figure 1: Network layout,Formatting,Formatting,Support – Formatting
whereabletoruntheTinderapplicationwhileloggingalltraffictoplaintext,Formatting,Formatting,Support – Formatting
impracticalaswehadtomanuallyinstallthecertificateauthorityandaccept,Formatting,Formatting,Support – Formatting
ItshouldbenotedthattheapprefusedtofunctionwhenservingHTTPS,Formatting,Formatting,Support – Formatting
files for later inspection. However for a casual attacker this would be highly severe warnings to get it to work. resources with invalid certificates. This included certificates which were,Weak Transport Security,Weak Transport Security,Exploitation – Weak Transport Security
3.2.2 Realization,Formatting,Formatting,Support – Formatting
3.3 User authentication,Formatting,Formatting,Support – Formatting
TinderrequiresitsuserstoregisterandloginusingFacebook. Facebooklog,Formatting,Formatting,Support – Formatting
"signed but for a invalid domain, unsigned for another domain, or unsigned for the correct domain were all rejected by the application. in uses a token which, once generated, can be used by any interested party. As such it might be possible to log a user in with a third party Facebook token. To check this we will attempt a log in request to the API of Tinder",Third-Party Data Leak,Third-Party Data Leak,Exploitation – Third-Party Data Leak
verifywhetherornotthesuppliedtokeniscreatedusingtheirownFacebook,Formatting,Formatting,Support – Formatting
for a user.,Formatting,Formatting,Support – Formatting
conversations,Formatting,Formatting,Support – Formatting
4 Analysis,Formatting,Formatting,Support – Formatting
4.1 Offline analysis,Formatting,Formatting,Support – Formatting
"and replace their Facebook token with one of our own. If Tinder does not app this will allow any Facebook app owner to attempt to log in to Tinder If it is possible to log in to the Tinder API using a random access token from another application this may enable third parties to profile users of Tinder or manipulate existing contacts, current recommendations, and chat Decompilation of the Tinder APK file provided some clear insights for fur- ther research. It provided us with a list of libraries used by Tinder, API endpoints, and some clarification on the authentication scheme used.",Token Misuse Risk,Token Misuse Risk,Discovery – Token Misuse Risk
4.1.1 Libraries,Formatting,Formatting,Support – Formatting
Tinder uses several libraries which appear to have code enabling network connectivity. These libraries may provide a channel from which information may be obtained. The libraries found are: Apphance5 Usage analysis and user feedback syndication.,Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
Crittercism6 Analytics and trend development.,Formatting,Formatting,Support – Formatting
Facebook7 User authentication.,Formatting,Formatting,Support – Formatting
Kontagent8 Analytics and trend development.,Formatting,Formatting,Support – Formatting
Volley9 Android networking library.,Formatting,Formatting,Support – Formatting
"Apphance, Crittercism and Kontagent are all products related to app usage analysis. Apphance seems to be dedicated to analysis of app crashes. Since the app did not crash during testing we have not intercepted any re- quest of Apphance. Crittercism and Kontagent are used for usage analytics.",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
backend.,Formatting,Formatting,Support – Formatting
Crittercism seems to be focused on application usage and device statistics whilst Kontagent seems focused on user details and interactions. Facebook is used for user registration and log in. The app retrieves an authorized token from the library which is used to log in with the Tinder The Volley library is a library provided by Google to make it easier for app developers to use HTTP requests effectively. The native Tinder API,Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
4.1.2 API resources,Formatting,Formatting,Support – Formatting
usage is build upon this library. As such we don’t expect many developer bugs or faults which would enable us to retrieve data. Due to incomplete obfuscation of the APK10 file certain resources could easily be identified. The base URL of the Tinder API was also revealed to,Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
be ‘https://api.gotinder.com’.,Formatting,Formatting,Support – Formatting
"URL_MEDIA_BASE = ""/media"";",Formatting,Formatting,Support – Formatting
5http://www.utest.com/apphance,Formatting,Formatting,Support – Formatting
6https://www.crittercism.com/,Formatting,Formatting,Support – Formatting
7https://developers.facebook.com/docs/android/,Formatting,Formatting,Support – Formatting
8http://www.kontagent.com/,Formatting,Formatting,Support – Formatting
9https://android.googlesource.com/platform/frameworks/volley,Formatting,Formatting,Support – Formatting
10ItshouldbenotedthataftertheTinder2.0updateforAndroidthisfilewasproperly,Formatting,Formatting,Support – Formatting
obfuscated.,Formatting,Formatting,Support – Formatting
"URL_LIKE_ADJUNCT = ""/like"";",Formatting,Formatting,Support – Formatting
"URL_PASS_ADJUNCT = ""/pass"";",Formatting,Formatting,Support – Formatting
"URL_MEDIA = ""https://content.gotinder.com"" + URL_MEDIA_BASE; URL_USER_BASE = URL_BASE + ""/user/""; URL_AUTH = URL_BASE + ""/auth""; URL_MATCHES = URL_USER_BASE + ""matches/""; URL_PING = URL_USER_BASE + ""ping""; URL_PROFILE = URL_USER_BASE + ""profile""; URL_RECS = URL_USER_BASE + ""recs""; URL_UPDATES = URL_BASE + ""/updates""; URL_REGISTER_PUSH = URL_BASE + ""/device/android""; URL_DESTINATIONS_LIST = URL_BASE + ""/destinations""; URL_DESTINATION = URL_BASE + ""/destinations/""; URL_REPORT = URL_BASE + ""/report/""; We also found that the API is adding an X-Auth-Token header to each request with a token retrieved from the /auth endpoint.",Weak Transport Security,Weak Transport Security,Exploitation – Weak Transport Security
4.1.3 Local storage,Formatting,Formatting,Support – Formatting
locationswheredatacouldbeleaked. Mostnoteworthyisthe‘tinder.db’file,Formatting,Formatting,Support – Formatting
Analyzing files left behind by the app on the system opened up some new which is an unencrypted SQLite3 database. This database houses informa- tion on past and future gradings as well as a complete chat history. Since this files is protected by Android to only be accessible by the app itself this is generally okay. However on rooted devices or with the possibility of a new,Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
4.2 Dynamic analysis,Formatting,Formatting,Support – Formatting
"exploit encryption might be preferable over the performance loss. After having concluded our offline analysis we started our online analysis, using our test setup as described in section 3.2.1. During this process we",Unknown,Unknown,Unlabeled – Unknown
"toinvestigatewherecertaindatawassent, whetheritwassecuredintransit,",Formatting,Formatting,Support – Formatting
4.2.1 Secured traffic,Formatting,Formatting,Support – Formatting
following hosts using HTTPS:,Formatting,Formatting,Support – Formatting
Number of requests Hostname,Formatting,Formatting,Support – Formatting
66 api.crittercism.com,Formatting,Formatting,Support – Formatting
3635 api.gotinder.com,Formatting,Formatting,Support – Formatting
on their website [6]:,Formatting,Formatting,Support – Formatting
WecollecteverythingWegroupitsoit’seasytoseeandprioritize,Formatting,Formatting,Support – Formatting
request.,Formatting,Formatting,Support – Formatting
"had two test users run the app on several occasions, both instructions to generate a representative stream of requests for a complete analysis of ap- plication behavior and possible weaknesses. We inspected the logs collected and whether there were other feature worth investigating. We inspected the hosts the device running the application connected to, after eliminating traffic from non Tinder related hosts we were left with the Seeing encrypted traffic to Crittercism, a company which is summarized for impact analysis We enable the identification of key trends that are happening with your app in real-time This prompted us to make an inventory of what data they received, during our test this included the following: • Hashed device id, equivalent to the UUID on the device making the • App id, an identifier which is the same for our two inspected accounts.",Third-Party Data Leak,Third-Party Data Leak,Exploitation – Third-Party Data Leak
TheAPIendpointapi.gotinder.comisonlyavailableofasecureHTTPS,Formatting,Formatting,Support – Formatting
connectionandtheapplicationrefusedtoconnectusinganythingbutaprop-,Formatting,Formatting,Support – Formatting
"• Device name, Platform name • Library version, the Crittercism code version. • Meta-data with Username, UID(Tinder user ID) and Name This information will most likely be stored indefinitely and used for legitimate purposed as advertised and permitted by the terms, conditions and privacy statements of Tinder. erly signed certificate from a trusted CA (see section 3.2.1).",Third-Party Data Leak,Third-Party Data Leak,Exploitation – Third-Party Data Leak
WiththiswecanconcludeananswertoDoes Tinder correctly implement,Formatting,Formatting,Support – Formatting
"HTTPS during communication?, namely that the Tinder API uses HTTPS to secure traffic to their service. Although we were able to circumvent this (see section 3.2.1) we had to install a custom root certificate authority on",Weak Transport Security,Weak Transport Security,Exploitation – Weak Transport Security
[7].,Formatting,Formatting,Support – Formatting
4.2.2 Insecure traffic,Formatting,Formatting,Support – Formatting
requests:,Formatting,Formatting,Support – Formatting
Number of requests Hostname,Formatting,Formatting,Support – Formatting
469 images.gotinder.com,Formatting,Formatting,Support – Formatting
860 api.geo.kontagent.net,Formatting,Formatting,Support – Formatting
"our client devices, which required full administrative control of the devices. Should this be a concern for Tinder they could consider certificate pinning We also we saw a large number of requests going to non-HTTPS endpoints, closer inspection revealed the following endpoints to receive non encrypted Of these the most interesting seems to be api.geo.kontagent.net, in-",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
• User number,Formatting,Formatting,Support – Formatting
• Selected sexual interest,Formatting,Formatting,Support – Formatting
dnsmasq,Formatting,Formatting,Support – Formatting
Kontagent API,Formatting,Formatting,Support – Formatting
Airbase-NG Iptables Facebook API,Formatting,Formatting,Support – Formatting
Tinder API,Formatting,Formatting,Support – Formatting
SSL Traffic,Formatting,Formatting,Support – Formatting
Logged traffic SSLSplit Plaintext Traffic,Formatting,Formatting,Support – Formatting
Figure 2: Data flow,Formatting,Formatting,Support – Formatting
"can/willbesharedwithserviceproviders,Kontagentseemstobeoneofthese",Formatting,Formatting,Support – Formatting
"formation we noticed being sent to this host: • Age of the local user • Gender of the local user • User ID(Tinder ID) of the local user • Location, in 7 decimals precision • User ID(Tinder ID) of the ‘matched’ user • Target user ID(Tinder ID) of another action A user of Tinder will should be aware that most of this information is transmitted, the privacy statement made by Tinder specifies that this data parties specializing in data mining, analytics services and visualization. What users might not realize is the insecure channel used for this, en- abling a motivated third party to passively inspect and log it. ThisanswersDoes Tinder send privacy sensitive data to systems outside of Tinder’s control? as they do send sensitive data (as illus- trated in figure 2) over an unsecured channel, one which they cannot control access to. However most data being sent to Tinder’s partners is communi-",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
4.2.3 Targeting authentication,Formatting,Formatting,Support – Formatting
"cated over encrypted channels, and all to reputable companies. We could not gather much information about other users which the ap- plication did not already show. After getting a feeling for the structure and general requirements for an API call we started to look into a more active approach. One of the first attacks",Unknown,Unknown,Unlabeled – Unknown
Facebook token for a Tinder session token.,Formatting,Formatting,Support – Formatting
"Wesendafullyauthorizedtoken, createdfromtheFacebookGraphAPI",Formatting,Formatting,Support – Formatting
tried on the Tinder API was to check if we could exchange a third party Explorer11. However it appears that Tinder is validating the origin of the supplied token. As such we conclude a token created by the Tinder app is required for proper authentication with the Tinder backend.,Third-Party Data Leak,Third-Party Data Leak,Exploitation – Third-Party Data Leak
4.2.4 Replay attacks,Formatting,Formatting,Support – Formatting
• The user,Formatting,Formatting,Support – Formatting
11https://developers.facebook.com/tools/explorer,Formatting,Formatting,Support – Formatting
• The chat partner,Formatting,Formatting,Support – Formatting
• The third party,Formatting,Formatting,Support – Formatting
"Inspecting our logged traffic we located some legitimate chat traffic in order to test whether we could automate the chat functionality. For this experi- ment we had three parties With the user having sent a test message to the chat partner12 our third party took the network logs and crafted another request, this crafted re- quest was then sent to the Tinder API server which accepted, processed and relayed it to the original chat partner. The conversation can be found in appendix B.1. During this experiment we noticed that while our chat",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
"partner received the message, the user on whose behalf we sent it did not get any notification in their chat log. We suspect the latter to be due to the response to the actual message being sent containing the information the application would normally add to the chat log. Execution of this attack requires the following resources: • The template API request (see appendix A.1)",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
"• The identifier of a match with the target user • A (currently) valid authentication token for the sending user • The application version identifier i.e. the user agent for the request • A properly encoded JSON payload specifying a message This attack shows that it is possible to write a simple chat bot, even if you would have to resort to someone manually creating matches with other users. There are strong indicators that spam bots are active on Tinder [8],",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
wesuspectthatautomationlikewedemonstratedisusedforthesepurposes.,Formatting,Formatting,Support – Formatting
"From the initial replay we wondered how the system would respond to replacing the Match-ID with a User-ID, To test this we used two accounts who had never had contact and where in fact both Male, set to look for female matches. By tweaking the request to simply replace the match iden- tifier with our test user’s identifier we hoped to forcibly open a chat dialog on the targeted users phone, however the execution revealed that the Tin- der API makes a distinction between a match and a user, simply refusing to send our message, as can be seen in appendix B.2.",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
4.2.5 Data retrieval,Formatting,Formatting,Support – Formatting
collected chats.,Formatting,Formatting,Support – Formatting
"We discovered the application retrieve history from the server by making a call to api.gotinder.com, by adjusting the requested time period we obtained an entire history for our test accounts, on one of the accounts we got results covering the entire history of the account, more than a month of This call requires the following information to be executed: • The template API request (see appendix A.2)",Data Overexposure / Excessive Permissions,Data Overexposure / Excessive Permissions,Unlabeled – Needs Review
It returned the following information:,Formatting,Formatting,Support – Formatting
jected by the user,Formatting,Formatting,Support – Formatting
data from unknown users.,Formatting,Formatting,Support – Formatting
performed by the user.,Formatting,Formatting,Support – Formatting
"• A (currently) valid authentication token for the sending user • A properly encoded JSON payload specifying a date 12who was told of our experiment • Chat history with timestamps • User profiles related to the chat history • The last time a chat partner was online, precise up to milliseconds • A list of identifiers what we strongly suspect are Tinder matches re- ThisanswersIs the undocumented, proprietary Tinder API prone to leaking data? As we have seen that the API will divulge a users own history, though it is limited in that you require a valid authentication token for this user, at which point you are likely to have enough other methods to come by the same data. We have not found any effective ways to harvest Previously Tinder send out more than the required information to the application as shown by Chintan Parikh[2], however currently no data is sent to the application other than that which is relevant to actions being WiththiswecanalsoconcludeIs it possible to eavesdrop on conversations between users? Since encryption is properly implemented in communicat- ing with the API endpoint there is no straightforward methods of eaves- dropping on a users chats, the only methods we found require root access to thedevice (seesection4.1.3), a stolenusertoken(see section3.3) forhistory",API Exposure via Static Analysis,API Exposure via Static Analysis,Discovery – API Exposure via Static Analysis
"retrieval, or fully transparent SSL decryption (see section 3.2.1).",Unknown,Unknown,Unlabeled – Unknown
4.3 Legal analysis,Formatting,Formatting,Support – Formatting
European law.,Formatting,Formatting,Support – Formatting
4.3.1 Dutch law,Formatting,Formatting,Support – Formatting
"Since Tinder is dealing with privacy sensitive information, we also need to check whether the information that is transferred, is transferred according to laws and regulations. You can look at these laws from different countries, but we decide to look into it for the Netherlands. This also implies to the The Netherlands has a common law in order to help the protection of per- sonal data. This law is called ’Wet bescherming persoonsgegevens’[9]. This",Background Information,Background Information,Support – Background Information
"permission. Theapplicationhoweverasksforthispermission, thusthegath-",Formatting,Formatting,Support – Formatting
4.3.2 European law,Formatting,Formatting,Support – Formatting
"law states that the user, which data is collected, must be asked for explicit ering of the personal data is legit. The European law is, however, more strict of securing the information in transit. This is described in the 95/46/EC[10] regulation. It says that the",Background Information,Background Information,Support – Background Information
• Loss of data,Formatting,Formatting,Support – Formatting
• Alteration of data,Formatting,Formatting,Support – Formatting
developer of the application must take care of security measurements to ensure the safe transit of data. This data must be protected against: • Accidental or unlawful destruction • Unauthorized disclosure or access • Other forms of unlawful processing The interesting part of these criteria is that the developer must also ensure that the data is not accessible. However the API that Tinder uses (Kontagent) does not make use of any encryption but merely uses a base64 encoding. This is not considered to be good encryption.,Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
totheEuropeanRegulations. Therearenoclearpenaltiesagainstthesekind,Formatting,Formatting,Support – Formatting
"ofimplementationflaws[11],butitishighlyrecommendedtofixtheseissues.",Formatting,Formatting,Support – Formatting
4.3.3 Privacy concerns,Formatting,Formatting,Support – Formatting
"This tells us that Tinder is not implementing the application according The usage of a post implementation in combination with a SSL secured con- nection would already suffice to ensure the safe passing of this information and thus preventing unauthorized access from sniffing the HTTP network. Tinder sends highly private information over the network. The information that is transferred to Kontagent contains the GPS location, gender, age, sexual preference, user number and Tinder ID. This can be intercepted by",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
"aneavesdropper,sincethetrafficisnotencrypted. Theinformationretrieved",Formatting,Formatting,Support – Formatting
"by the eavesdropper can be used for different purposes. Tinder says in it’s privacy statement that it does not store this privacy sensitive information, but it sends this information to the Kontagent API. This is a third party. It is possible that Tinder lets this third party store the",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
"data as this is allowed according to the Tinder privacy statement. The user agrees with this when installing and using Tinder for the first time. Tinder says in it’s privacy statement that it is allowed to collect the following data next to the data listed above: • Technical details, device, browser, OS • Preferences, timezone language,privacy settings, product preferences • URL of last visited age, referrer.",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
DatagatheredbythirdpartyAPI’scanbegatheredduringtheuseofTinder.,Formatting,Formatting,Support – Formatting
"• Clicked buttons, controls and ads • Usage tracking, Online/Offline status When the Tinder account is deleted, this information will remain stored on with the third parties. The stored information cannot be deleted. Third parties can sell or use this information for targeted add. All of this is",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
5 Conclusion,Formatting,Formatting,Support – Formatting
WesetoutinourresearchtotestwhethertheTinderapplicationisresistant,Formatting,Formatting,Support – Formatting
thepast. Aspreviouslydiscussedmanyoftheoldholeshavebeensufficiently,Formatting,Formatting,Support – Formatting
according to Tinders privacy statement the user agreed upon. to casual attack after recent publications have proven that it was not so in patched and are no longer exploitable. Currently the Tinder API is not leaking any data and is properly using SSL. It is not possible to eavesdrop on a user’s conversations without first,Background Information,Background Information,Support – Background Information
their API.,Formatting,Formatting,Support – Formatting
"obtaining an authentication token for either side of the conversation or in- stalling a fake certificate on the user’s device. However we still found some minor issues, including an analytics company being sent sensitive data over an insecure connection. We do believe Tinder to now be secure for everyday use as they use proper authentication and apply encryption for data sent to Our primary advice for Tinder would be to investigate whether the com- munication with Kontagent can be secured. Furthermore we would also like",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
"to point out some other points where Tinder could improve their platform and its security: They could pin certain certificates, implement encryption on their image resources and perhaps even try to harden or rate limit their API to deter the bots exploiting their application. Lastly it would be prudent to stay up to date on recent developments. During the course of this research another developer has shown that there was a feature in the Tinder API which could be abused. Although this had",Sensitive Data Exposure,Sensitive Data Exposure,Exploitation – Sensitive Data Exposure
attacks.,Formatting,Formatting,Support – Formatting
References,Formatting,Formatting,Support – Formatting
